Company,Rating,Type,Good Review,Bad Review
HGS,3.7,Emerging Technologies | Bengaluru +122 other locations,,
Amazon Development Centre India,3.8,Internet | Hyderabad +146 other locations,"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development"
KPMG India,3.4,Management Consulting | Bengaluru +112 other locations,,
Lupin,4.1,Pharma | Pune +205 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions
Axis Max Life Insurance,4.0,Insurance | New Delhi +512 other locations,,
L&T Construction,4.0,Engineering & Construction | Chennai +436 other locations,"Job Security, Skill Development, Salary","Work Life Balance, Promotions"
ITC,3.9,FMCG | Bengaluru +382 other locations,"Job Security, Skill Development",Promotions
Hindustan Unilever,4.2,FMCG | Mumbai +549 other locations,"Skill Development, Company Culture, Work Life Balance",Promotions
Megha Engineering & Infrastructures,3.9,Engineering & Construction | Hyderabad +413 other locations,Work Life Balance,Promotions
Tata Projects,4.2,Engineering & Construction | Mumbai +288 other locations,,
Cholamandalam Investment & Finance,3.8,Financial Services | Chennai +872 other locations,Salary,Promotions
Bajaj Life Insurance,3.8,Insurance | Pune +623 other locations,,
L&T Technology Services,3.1,IT Services & Consulting | Bengaluru +95 other locations,,
FIS,3.8,FinTech | Pune +61 other locations,Work Life Balance,"Promotions, Job Security, Skill Development"
Oracle,3.3,Software Product | Bengaluru +56 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction"
Omega Healthcare,3.8,BPO | Chennai +70 other locations,,
JLL,4.1,Real Estate | Gurugram +88 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
Muthoot Finance,3.7,NBFC | Bengaluru +799 other locations,,
IIFL Finance,4.0,NBFC | Mumbai +819 other locations,,
eClerx,3.1,IT Services & Consulting | Pune +33 other locations,,
Indian Army,4.7,Defence & Aerospace | New Delhi +364 other locations,,
DMart,3.9,Retail | Mumbai +256 other locations,"Job Security, Company Culture",Promotions
PolicyBazaar,3.7,Internet | Gurugram +161 other locations,Salary,Work Life Balance
Piramal Finance,4.2,NBFC | Mumbai +436 other locations,,
Virtusa Consulting Services,3.7,IT Services & Consulting | Hyderabad +56 other locations,,
Indiamart Intermesh,3.5,Internet | Noida +169 other locations,,
HSBC Group,3.8,Financial Services | Bengaluru +63 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Salary"
HCL Group,3.5,IT Services & Consulting | Chennai +97 other locations,,
SMFG India Credit,3.9,NBFC | Mumbai +610 other locations,Salary,Promotions
Access Healthcare,3.7,BPO | Chennai +62 other locations,,
BigBasket,3.9,Internet | Bengaluru +145 other locations,Job Security,Promotions
ICICI Lombard General Insurance Company,3.5,Insurance | Mumbai +324 other locations,,
Siemens,4.0,Industrial Automation | Bengaluru +156 other locations,"Work Life Balance, Job Security, Company Culture",Promotions
Manappuram Finance,3.9,NBFC | Bengaluru +664 other locations,,
Firstsource Solutions,3.5,BPO | Bengaluru +73 other locations,,
GlobalLogic,3.5,IT Services & Consulting | Hyderabad +62 other locations,,
Aurobindo Pharma,4.0,Pharma | Hyderabad +117 other locations,"Job Security, Salary, Work Life Balance",Promotions
Tata Capital,3.9,NBFC | Mumbai +456 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Shapoorji Pallonji Group,4.1,Engineering & Construction | Mumbai +190 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
UST,3.7,IT Services & Consulting | Bengaluru +52 other locations,Work Life Balance,"Promotions, Salary, Job Security"
Standard Chartered,3.6,Banking | Chennai +71 other locations,,
Swiggy,3.7,Internet | Bengaluru +240 other locations,,
Mahindra Finance,3.8,NBFC | Mumbai +743 other locations,,
Apollo Hospitals,4.0,Healthcare | Chennai +226 other locations,"Job Security, Skill Development, Company Culture",Promotions
Udaan,3.9,Internet | Bengaluru +366 other locations,Salary,"Job Security, Promotions"
Bosch Global Software Technologies,3.7,IT Services & Consulting | Bengaluru +47 other locations,"Work Life Balance, Company Culture, Job Security","Promotions, Salary, Work Satisfaction"
Citicorp,3.6,Financial Services | Pune +68 other locations,Salary,"Promotions, Work Satisfaction, Skill Development"
Ashok Leyland,4.0,Automobile | Chennai +265 other locations,"Skill Development, Company Culture, Work Life Balance",Promotions
Hero MotoCorp,4.1,Automobile | Gurugram +374 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
CGI Inc,4.0,IT Services & Consulting | Bengaluru +43 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Salary"
SBI Cards & Payment Services,3.6,Financial Services | Gurugram +450 other locations,,
Kalpataru Projects International,4.1,Engineering & Construction | Mumbai +328 other locations,,
Cyient,3.6,IT Services & Consulting | Hyderabad +49 other locations,,
NTT DATA,3.8,IT Services & Consulting | Bengaluru +81 other locations,"Work Life Balance, Job Security",Promotions
BNY,3.6,Financial Services | Pune +28 other locations,,
IQVIA,3.7,Clinical Research | Bengaluru +67 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction"
Nagarjuna Construction Company,4.0,Engineering & Construction | Hyderabad +300 other locations,"Job Security, Work Life Balance, Skill Development",Promotions
Schneider Electric,4.1,Industrial Automation | Bengaluru +122 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
SBI Life Insurance Company,3.7,Insurance | Mumbai +664 other locations,Job Security,"Promotions, Work Life Balance, Work Satisfaction"
JustDial,3.5,Internet | Noida +238 other locations,,
CBRE,4.1,Real Estate | Hyderabad +92 other locations,,
TVS Motor,3.8,Automobile | Hosur +356 other locations,"Job Security, Skill Development, Salary",Promotions
State Bank of India,3.8,Banking | Mumbai +653 other locations,,
Persistent Systems,3.6,IT Services & Consulting | Pune +42 other locations,,
KEC International,4.0,Engineering & Construction | Mumbai +320 other locations,"Job Security, Salary, Company Culture",Promotions
ITC Infotech,3.8,IT Services & Consulting | Bengaluru +69 other locations,"Work Life Balance, Job Security",Promotions
Atos,3.8,IT Services & Consulting | Pune +50 other locations,Work Life Balance,"Promotions, Salary"
Amdocs,3.6,Software Product | Pune +24 other locations,Company Culture,"Promotions, Job Security, Work Satisfaction"
vivo,4.0,Consumer Electronics & Appliances | Noida +416 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions
Varun Beverages,4.0,Beverage | New Delhi +383 other locations,"Job Security, Work Life Balance, Skill Development",Promotions
JBM Group,3.9,Auto Components | Gurugram +119 other locations,"Job Security, Skill Development",Promotions
Utkarsh Small Finance Bank,3.6,Banking | Varanasi +425 other locations,,
Ecom Express,4.1,Logistics | Gurugram +781 other locations,,
Nagarro,3.9,IT Services & Consulting | Gurugram +48 other locations,"Work Life Balance, Company Culture",Promotions
Randstad,3.7,Recruitment | Hyderabad +371 other locations,,
Eviden,3.6,IT Services & Consulting | Pune +39 other locations,Work Life Balance,"Promotions, Salary, Job Security"
EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting | Bengaluru +57 other locations,Job Security,"Promotions, Work Satisfaction, Work Life Balance"
Bosch,4.1,Auto Components | Bengaluru +133 other locations,"Work Life Balance, Company Culture, Skill Development",Promotions
Intas Pharmaceuticals,4.1,Pharma | Ahmedabad +150 other locations,,
Havells,3.9,Electrical Equipment | Noida +268 other locations,"Work Life Balance, Salary",Promotions
L&T Finance,3.9,NBFC | Mumbai +659 other locations,Salary,Promotions
Hetero,3.9,Pharma | Hyderabad +72 other locations,"Job Security, Work Life Balance",Promotions
Hewlett Packard Enterprise,4.0,IT Services & Consulting | Bengaluru +104 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Aditya Birla Fashion and Retail,4.0,Fashion & Textile | Bengaluru +294 other locations,"Job Security, Skill Development, Company Culture",Promotions
R1 RCM,3.8,BPO | New Delhi +49 other locations,Job Security,Promotions
Cars24,3.4,Internet | Gurugram +172 other locations,,
Tata AIA Life Insurance,3.9,Insurance | Mumbai +457 other locations,"Job Security, Skill Development, Salary",Promotions
Mahindra Logistics,3.7,Logistics | Mumbai +233 other locations,,
Dell,3.8,Consumer Electronics & Appliances | Bengaluru +117 other locations,"Work Life Balance, Company Culture","Promotions, Job Security"
Home Credit Finance,4.0,NBFC | Gurugram +140 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Lenskart,3.3,Internet | New Delhi +256 other locations,,
Berger Paints,3.7,Chemicals | Kolkata +372 other locations,,
Deutsche Bank,3.8,Banking | Pune +42 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Skill Development"
Motilal Oswal Financial Services,3.7,Financial Services | Mumbai +170 other locations,Skill Development,"Promotions, Work Life Balance, Work Satisfaction"
OPPO,3.9,Consumer Electronics & Appliances | Greater Noida +413 other locations,Skill Development,"Promotions, Job Security"
Hyundai Motor India Limited,4.1,Automobile | Chennai +294 other locations,"Job Security, Salary, Company Culture",Promotions
TeamLease Services,3.9,Recruitment | Bengaluru +408 other locations,Work Life Balance,Promotions
VE Commercial Vehicles,3.9,Automobile | Indore +183 other locations,"Job Security, Company Culture, Skill Development","Promotions, Salary"
Thermax Limited,4.2,Industrial Machinery | Pune +261 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Jubilant Foods Works,3.7,Hospitality | New Delhi +272 other locations,,
Carelon Global Solutions,3.9,IT Services & Consulting | Bengaluru +20 other locations,"Company Culture, Job Security, Work Life Balance",Promotions
Macleods Pharmaceuticals,3.7,Pharma | Mumbai +139 other locations,Job Security,"Promotions, Company Culture"
Aakash Educational Services,3.2,Education & Training | New Delhi +251 other locations,,
Jindal Steel Limited,3.9,Iron & Steel | Angul +176 other locations,Skill Development,Promotions
Bajaj Auto,3.8,Automobile | Pune +326 other locations,,
State Street Corporation,3.5,Financial Services | Bengaluru +36 other locations,,
Hindalco Industries,4.2,Metals & Mining | Sambalpur +133 other locations,,
LG Electronics,3.8,Consumer Electronics & Appliances | Pune +303 other locations,Job Security,Promotions
Kogta Financial India Limited,4.6,NBFC | Jaipur +260 other locations,,
HDFC ERGO General Insurance,3.9,Insurance | Mumbai +328 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
DCB Bank,3.8,Banking | Mumbai +349 other locations,Work Life Balance,Promotions
Royal Enfield,4.2,Automobile | Chennai +375 other locations,"Work Life Balance, Skill Development, Company Culture",Promotions
John Deere,4.0,Industrial Machinery | Pune +157 other locations,"Company Culture, Work Life Balance, Skill Development",Promotions
RBL Bank,3.5,Banking | Mumbai +294 other locations,,
Publicis Sapient,3.2,IT Services & Consulting | Bengaluru +47 other locations,,
Tata Communications,3.8,Telecom | Pune +102 other locations,Work Life Balance,"Promotions, Salary"
Cummins,4.3,Industrial Machinery | Pune +117 other locations,,
Alembic Pharmaceuticals,3.9,Pharma | Vadodara +189 other locations,,
Cloudnine Hospital,4.5,Healthcare | Bengaluru +46 other locations,,
Bank of America,4.1,Banking | Gurugram +34 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
Pidilite Industries,4.2,Chemicals | Mumbai +322 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
Grasim Industries,4.0,Building Material | Bharuch +264 other locations,"Job Security, Skill Development, Company Culture",Promotions
Aditya Birla Sun Life Insurance,4.0,Insurance | Mumbai +514 other locations,,
Oyo Rooms,2.9,Hospitality | Gurugram +121 other locations,,
Kyndryl,3.9,IT Services & Consulting | Bengaluru +39 other locations,"Work Life Balance, Company Culture, Skill Development",Promotions
PNB MetLife,3.3,Insurance | New Delhi +435 other locations,,
American Express,4.1,Financial Services | Gurugram +54 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
Aditya Birla Capital,3.8,NBFC | Mumbai +353 other locations,,
Subros,3.7,Auto Components | Noida +88 other locations,"Job Security, Skill Development","Salary, Promotions"
ADP Private Limited,3.8,Software Product | Hyderabad +41 other locations,"Job Security, Company Culture, Work Life Balance","Promotions, Salary"
KPIT Technologies,2.8,Software Product | Pune +43 other locations,,
Escorts Kubota Limited,4.1,Industrial Machinery | Faridabad +160 other locations,"Work Life Balance, Company Culture, Skill Development",Promotions
Viatris,4.1,Pharma | Hyderabad +80 other locations,,
Maersk,3.9,Logistics | Chennai +50 other locations,"Work Life Balance, Company Culture",Promotions
XpressBees,4.1,Logistics | Pune +482 other locations,,
Altruist Technologies,4.4,BPO | Bengaluru +43 other locations,,
PVR INOX,3.9,Media & Entertainment | New Delhi +152 other locations,Job Security,Promotions
JK Cement,4.0,Building Material | New Delhi +334 other locations,Salary,Promotions
Birlasoft,3.4,IT Services & Consulting | Pune +50 other locations,,
Synechron,3.4,IT Services & Consulting | Pune +33 other locations,,
Reliance Communications,4.0,Telecom | Mumbai +468 other locations,"Skill Development, Company Culture, Work Life Balance",Promotions
PhonePe,4.0,FinTech | Bengaluru +410 other locations,,
Blinkit,3.8,Internet | Gurugram +163 other locations,Salary,Promotions
Glenmark Pharmaceuticals,3.8,Pharma | Mumbai +194 other locations,,
Kotak Mahindra Life Insurance Company,3.5,Insurance | Mumbai +259 other locations,,
Bharat Electronics,4.2,Electronics Manufacturing | Bengaluru +88 other locations,,
Dabur,3.8,FMCG | New Delhi +322 other locations,Salary,Promotions
Sodexo,4.0,Hospitality | Mumbai +162 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Cogent E Services,3.1,BPO | Noida +58 other locations,,
Godrej & Boyce Manufacturing,3.8,Consumer Electronics & Appliances | Mumbai +175 other locations,Job Security,Promotions
UNO Minda,3.9,Auto Components | Pune +112 other locations,"Job Security, Company Culture, Skill Development",Promotions
ArcelorMittal Nippon Steel India,4.1,Iron & Steel | Surat +90 other locations,,
Ipca Laboratories,3.8,Pharma | Mumbai +165 other locations,"Job Security, Work Life Balance","Promotions, Salary"
Abbott,4.1,Pharma | Mumbai +215 other locations,"Work Life Balance, Salary, Company Culture",Promotions
Aarti Industries,4.1,Agro Chemicals | Bharuch +60 other locations,,
Samvardhana Motherson Group,3.7,Auto Components | Noida +94 other locations,Job Security,"Promotions, Company Culture, Work Satisfaction"
Reliance Projects & Property Management Services,4.0,Other | Kolkata +626 other locations,"Job Security, Skill Development, Company Culture",Promotions
Reliance Digital,4.1,Retail | Mumbai +386 other locations,,
IGT Solutions,3.2,BPO | New Delhi +48 other locations,,
MRF Tyres,3.6,Auto Components | Chennai +195 other locations,,
Indian Oil Corporation,4.4,Oil & Gas | New Delhi +312 other locations,,
"NTT DATA, Inc.",3.9,IT Services & Consulting | Bengaluru +38 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Alkem Laboratories,3.9,Pharma | Mumbai +201 other locations,,
Johnson Controls,3.5,Industrial Automation | Pune +58 other locations,,
Honda Motorcycle & Scooter,4.1,Automobile | Gurugram +303 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
[24]7.ai,3.4,Hospitality | Bengaluru +36 other locations,,
Vishal Mega Mart,3.7,Retail | New Delhi +382 other locations,Salary,"Company Culture, Work Satisfaction, Job Security"
Hindustan Coca Cola Beverages,4.0,Beverage | Bengaluru +265 other locations,"Salary, Skill Development, Company Culture",Promotions
Barclays,3.7,Banking | Pune +38 other locations,Work Life Balance,"Promotions, Skill Development, Work Satisfaction"
DTDC Express,3.7,Logistics | New Delhi +274 other locations,,
Bajaj General Insurance Limited,3.7,Insurance | Pune +310 other locations,,
UBS,3.8,Financial Services | Pune +19 other locations,Work Life Balance,"Promotions, Job Security"
IndusInd Nippon Life Insurance,3.4,Mumbai +494 other locations,,
RSPL Group,4.0,FMCG | Kanpur +263 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
ABB,4.0,Industrial Machinery | Bengaluru +109 other locations,"Work Life Balance, Job Security, Company Culture",Promotions
TVS Credit Services Ltd,4.2,NBFC | Chennai +449 other locations,,
AGS Health,4.0,Analytics & KPO | Chennai +64 other locations,"Company Culture, Job Security, Work Life Balance",Promotions
Ceat Tyres,3.9,Auto Components | Nagpur +143 other locations,"Job Security, Company Culture, Skill Development","Promotions, Salary"
NatWest Group,3.9,Banking | Gurugram +29 other locations,"Work Life Balance, Job Security, Company Culture","Promotions, Salary"
Ford Motor,4.2,Automobile | Chennai +131 other locations,,
HARMAN,3.8,Consumer Electronics & Appliances | Bengaluru +42 other locations,"Work Life Balance, Company Culture",Promotions
Alstom Transportation,3.7,Engineering & Construction | Bengaluru +80 other locations,Job Security,"Promotions, Company Culture, Work Satisfaction"
Croma,3.8,Retail | Mumbai +193 other locations,"Work Life Balance, Skill Development",Promotions
Niva Bupa Health Insurance Company,4.0,Insurance | New Delhi +325 other locations,,
InterGlobe Aviation,3.4,Aviation | New Delhi +104 other locations,,
Conduent,3.4,BPO | Bengaluru +36 other locations,,
Tata AIG,4.0,Insurance | Mumbai +263 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Tata Technologies,3.4,Automobile | Pune +59 other locations,,
Indian Air Force,4.6,Defence & Aerospace | New Delhi +135 other locations,,
Sagility,3.9,BPO | Bengaluru +29 other locations,"Job Security, Company Culture, Work Life Balance","Promotions, Salary"
GeBBS Healthcare Solutions,3.8,BPO | Mumbai +26 other locations,Job Security,"Promotions, Salary"
Canara HSBC Life Insurance,4.1,Insurance | Gurugram +369 other locations,,
Tata AutoComp Systems,3.7,Auto Components | Pune +83 other locations,Job Security,"Promotions, Salary, Company Culture"
Jindal Stainless,4.1,Iron & Steel | Jajpur +78 other locations,,
UPL,4.1,Agro Chemicals | Ankleshwar +185 other locations,"Job Security, Work Life Balance, Skill Development",Promotions
PepsiCo,4.0,Food Processing | Hyderabad +282 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Ambuja Cements,3.9,Building Material | Ahmedabad +301 other locations,,
Max Healthcare,4.0,Healthcare | New Delhi +78 other locations,"Job Security, Skill Development, Company Culture",Promotions
Mankind Pharma,3.8,Pharma | New Delhi +250 other locations,,
Titan Company,4.2,Retail | Bengaluru +186 other locations,"Company Culture, Job Security, Work Life Balance",Promotions
Allcargo Logistics,3.8,Logistics | Mumbai +175 other locations,,
Amazon Transportation Services,4.2,Logistics | Hyderabad +226 other locations,,
Dilip Buildcon,3.9,Engineering & Construction | Bhopal +230 other locations,Salary,"Promotions, Job Security"
S&P Global,3.9,Analytics & KPO | Hyderabad +48 other locations,"Company Culture, Work Life Balance",Promotions
Societe Generale Global Solution Centre,3.6,IT Services & Consulting | Bengaluru +24 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction"
Walmart,3.4,Retail | Bengaluru +91 other locations,,
MSN Laboratories,3.6,Pharma | Hyderabad +107 other locations,Job Security,"Company Culture, Work Life Balance, Work Satisfaction"
Quest Global,3.5,IT Services & Consulting | Bengaluru +49 other locations,,
Varroc Group,3.6,Auto Components | Pune +63 other locations,,
Afcons Infrastructure,4.2,Engineering & Construction | Mumbai +125 other locations,,
Ola Electric Mobility,3.3,Automobile | Bengaluru +446 other locations,Salary,"Job Security, Promotions, Company Culture"
ESAF Small Finance Bank,3.6,Banking | Thrissur +460 other locations,,
Marpu Foundation,4.9,Non-Profit | Hyderabad +61 other locations,,
Tata Electronics,3.8,Semiconductors | Hosur +62 other locations,Job Security,"Promotions, Salary"
IDFC FIRST Bharat,4.2,Financial Services | Chennai +447 other locations,,
Torrent Pharmaceuticals,4.0,Pharma | Ahmedabad +133 other locations,"Job Security, Work Life Balance, Company Culture","Promotions, Salary"
DS Group,4.0,FMCG | Noida +294 other locations,"Work Life Balance, Job Security, Salary",Promotions
Tata Elxsi,3.4,IT Services & Consulting | Bengaluru +32 other locations,,
Zepto,3.6,Internet | Bengaluru +110 other locations,,
Bharat Financial Inclusion,3.7,Financial Services | Hyderabad +513 other locations,Salary,"Promotions, Work Satisfaction"
Square Yards,3.5,Internet | Gurugram +51 other locations,,
HDFC Sales,3.9,Financial Services | Mumbai +354 other locations,"Skill Development, Company Culture, Work Life Balance","Promotions, Salary"
Zensar Technologies,3.7,IT Services & Consulting | Pune +29 other locations,Work Life Balance,"Promotions, Job Security, Work Satisfaction"
Suzlon Group,4.0,Power | Pune +148 other locations,"Job Security, Skill Development, Company Culture","Promotions, Salary"
Indus Towers,3.6,Telecom | Gurugram +245 other locations,,
Future Group,4.2,Retail | Mumbai +207 other locations,,
Fujitsu,3.8,IT Services & Consulting | Pune +41 other locations,"Work Life Balance, Company Culture","Promotions, Salary"
CMS IT Services,3.1,IT Services & Consulting | Mumbai +153 other locations,,
I Process Services,3.8,Recruitment | Mumbai +407 other locations,Work Life Balance,"Promotions, Salary"
Eternal Limited,3.6,Internet | Gurugram +220 other locations,,
VVDN Technologies,3.6,IT Services & Consulting | Gurugram +51 other locations,,
ACC,3.9,Building Material | Mumbai +278 other locations,,
IKS Health,3.5,BPO | Mumbai +33 other locations,,
Yazaki,3.9,Auto Components | Pune +94 other locations,"Job Security, Skill Development",Promotions
Nokia,4.0,Telecom | Bengaluru +165 other locations,"Work Life Balance, Company Culture",Promotions
Shoppers Stop,3.9,Retail | Mumbai +85 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
Shree Cement,3.8,Building Material | Beawar +270 other locations,,
Apollo Tyres,4.0,Auto Components | Chennai +182 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
Fiserv,2.8,FinTech | Pune +33 other locations,,
Britannia,4.0,Hospitality | Pune +307 other locations,"Job Security, Skill Development",Promotions
Landmark Group,3.8,Retail | Bengaluru +175 other locations,Job Security,Promotions
Exl India,3.5,Logistics | New Delhi +45 other locations,Job Security,"Promotions, Salary, Skill Development"
Dalmia Bharat Cement,3.9,Building Material | Guwahati +255 other locations,"Job Security, Salary",Promotions
Physicswallah,3.6,EdTech | Noida +146 other locations,,
SRF,4.1,Chemicals | Bharuch +68 other locations,"Job Security, Salary, Work Life Balance",Promotions
